"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"openssl","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.1",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"openxlsx","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"optextras","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2019-12.4",NA,NA,"numDeriv, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"optimParallel","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-2",NA,"R (>= 3.5), stats, parallel",NA,NA,"R.rsp, roxygen2, spam, microbenchmark, testthat, ggplot2,
numDeriv, lbfgsb3c",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"optimx","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2023-10.21",NA,NA,"numDeriv, nloptr, pracma",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex, marqLevAlg, testthat (>= 3.0.0),
R.rsp",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"optparse","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7.4",NA,"R (>= 3.6.0)","methods, getopt (>= 1.20.2)",NA,"knitr (>= 1.15.19), stringr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"optpart","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-3",NA,"cluster, labdsv, MASS, plotrix",NA,NA,"tree",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"ordinal","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2023.12-4",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"ouch","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.19",NA,"R(>= 3.6)","methods, stats, graphics, grDevices, utils, subplex",NA,"ape",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"OUwie","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.10",NA,"R (>= 3.2.0), ape, corpcor, nloptr, geiger, RColorBrewer","igraph, numDeriv, phytools, paleotree, phangorn, stats, lhs,
interp, grDevices, parallel, phylolm",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"packrat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"paleotree","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.4.5",NA,"R (>= 4.1.0), ape (>= 4.1)","phangorn (>= 2.6.3), stats, phytools (>= 0.6-00), jsonlite,
graphics, grDevices, methods, png, RCurl, utils",NA,"spelling, testthat, curl",NA,"CC0",NA,NA,NA,NA,"no","4.3.0"
"paleoTS","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.3",NA,"R (>= 3.4.0)","mnormt, foreach, parallel, doParallel",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"palmerpenguins","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.3.0"
"pan","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.9",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"pander","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"parallel","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"parallelly","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.37.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.3.1"
"partitions","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.10-7",NA,"R (>= 3.6.0)","gmp, polynom, sets, mathjaxr, Rdpack",NA,"testthat",NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"party","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-14",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp, randomForest",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"partykit","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-20",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"patchwork","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pbapply","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"PBD","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4",NA,"R (>= 3.0)","deSolve, ade4, ape, DDD, phytools, graphics, stats, utils",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"pbdZMQ","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3-11",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"pbivnorm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"pbkrtest","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"pbmcapply","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"pcaPP","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0-4",NA,"R(>= 3.6.2)","mvtnorm, methods",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"PCPS","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.7",NA,"SYNCSA (>= 1.3.4)","ape, picante, phylobase, vegan, RcppArmadillo, stats,
graphics, parallel, nlme",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"pdftools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.4.0",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pdist","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.1",NA,"methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"pegas","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3",NA,"R (>= 3.2.0), ape (>= 5.3-11)","graphics, utils, methods",NA,"rgl, snpStats, adegenet",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"permute","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"phangorn","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.11.1",NA,"ape (>= 5.6), R (>= 4.1.0)","digest, fastmatch, generics, graphics, grDevices, igraph (>=
1.0), Matrix, methods, parallel, quadprog, Rcpp, stats, utils","Rcpp","Biostrings, knitr, magick, rgl, rmarkdown, seqinr, seqLogo,
tinytest, xtable",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"pheatmap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"phia","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3-1",NA,"car, graphics, stats","Matrix, grDevices, methods, utils",NA,"nlme, lme4",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"phyclust","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-34",NA,"R (>= 3.0.0), ape",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"phyext2","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.0.4",NA,NA,"methods, phylobase, ape, grid, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"phylobase","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.12",NA,NA,"ade4, ape (>= 3.0), Rcpp (>= 0.11.0), rncl (>= 0.6.0), grid,
methods, stats, RNeXML","Rcpp","MASS, testthat (>= 0.8.1), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"phylocanvas","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.3",NA,"R (>= 3.3.1)","ape (>= 4.0), phylobase, htmlwidgets, methods (>= 3.3.0)",NA,"magrittr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"phyloclim","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.5",NA,"ape, raster","methods, sp",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"PHYLOGR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.11",NA,"R(>= 1.8.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"phylolm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.6.2",NA,"R (>= 4.0), ape","future.apply",NA,"testthat",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"phylosignal","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.1",NA,NA,"Rcpp (>= 0.11.0), adephylo, igraph, ape, phylobase, boot, DBI,
graphics, grDevices, methods, stats, utils","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"phylotate","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3",NA,"R (>= 3.0.0)",NA,NA,"ape",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"phylotools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.2",NA,"ape",NA,NA,"vegan",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"phyloTop","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.2",NA,"R (>= 3.2.2), ape","igraph, methods, NHPoisson, phylobase",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"PhySortR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.8",NA,"R (>= 3.0.0)","phytools, ape",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"phytools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1-1",NA,"R (>= 3.5.0), ape (>= 5.7), maps","clusterGeneration, coda, combinat, doParallel, expm, foreach,
graphics, grDevices, MASS, methods, mnormt, nlme, numDeriv,
optimParallel, parallel, phangorn (>= 2.3.1), scatterplot3d,
stats, utils",NA,"animation, geiger, plotrix, RColorBrewer, rgl",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"picante","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.2",NA,"ape, vegan, nlme, methods",NA,NA,"brglm, circular, corpcor, quantreg",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"pillar","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"pixmap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-12",NA,NA,"methods, graphics, grDevices",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"pkgbuild","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.4",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgconfig","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"pkgdown","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"pkgload","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.4",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, pkgbuild,
rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"PKI","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-12",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"plantecophys","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-6",NA,"R (>= 3.3.0)",NA,NA,"nlstools, testthat, knitr, rmarkdown, DT",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"plogr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"plot3D","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.1",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.3.1"
"plot3Drgl","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.4",NA,"rgl, plot3D, R (>= 3.2.3)","grDevices",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.3.0"
"plotly","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.10.4",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"plotmo","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.6.3",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-51), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-15), rpart.plot (>= 3.0.8)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"plotrix","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.8-4",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pls","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.8-3",NA,"R (>= 3.5.0)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"plumber","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.2",NA,"R (>= 3.0.0)","R6 (>= 2.0.0), stringi (>= 0.3.0), jsonlite (>= 0.9.16),
webutils (>= 1.1), httpuv (>= 1.5.5), crayon, promises (>=
1.1.0), sodium, swagger (>= 3.33.0), magrittr, mime, lifecycle
(>= 0.2.0), ellipsis (>= 0.3.0), rlang",NA,"testthat (>= 0.11.0), rmarkdown, base64enc, htmlwidgets,
visNetwork, later, readr, yaml, arrow, future, coro,
rstudioapi, spelling, mockery (>= 0.4.2), geojsonsf, redoc,
rapidoc, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"plyr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pmc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.6",NA,NA,"dplyr, geiger (>= 2.0.11), ggplot2, parallel, ouch, tidyr,
phytools (>= 1.5-1)",NA,"covr, gridExtra, knitr, testthat, rmarkdown",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"PMCMR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.4",NA,"R (>= 3.0.0)","stats",NA,"multcompView",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"pmml","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.5.2",NA,"XML","methods, stats, utils, stringr",NA,"ada, amap, arules, caret, clue, data.table, forecast, gbm,
glmnet, Matrix, neighbr, nnet, rpart, randomForest, rattle,
kernlab, e1071, testthat, survival, xgboost, knitr, rmarkdown,
covr, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"png","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"poibin","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"polyclip","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.10-6",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.3.1"
"polynom","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"polysat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7-7",NA,NA,"methods, stats, utils, grDevices, graphics, Rcpp","Rcpp","ade4, adegenet, ape",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"poppr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.9.6",NA,"R (>= 2.15.1), adegenet (>= 2.0.0)","stats, graphics, grDevices, utils, vegan, ggplot2, ape (>=
3.1-1), igraph (>= 1.0.0), methods, ade4, pegas, polysat, dplyr
(>= 0.4), rlang, boot, shiny, magrittr, progressr",NA,"testthat, knitr, rmarkdown, poweRlaw, cowplot",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"prabclus","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3-3",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"pracma","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.4.4",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"praise","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"PresenceAbsence","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.11",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"no","4.3.0"
"prettyunits","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pROC","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.18.5",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"processx","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.8.4",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"prodlim","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2023.08.28",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"profvis","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"progress","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"progressr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"promises","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.1",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"proto","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"proxy","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
